fid,gbifID,species,decimalLat,decimalLon,month,year,1_Annual_Mean_Temp,2_Mean_Diurnal_Range,3_Isothermality,4_Temperature Seasonality,5_Max_Temp_Warmest_Month,6_Min_Temp_Coldest_Month,7_Temp_Annual_Range,8_Mean_Temp_Wettest_Quarter,9_Mean_Temp_Driest_Quarter,10_Mean_Temp_Warmest_Quarter,11_Mean_Temp_Coldest_Quarter,12_Annual_Precip,13_Precip_Wettest_Month,14_Precip_Driest_Month,15_Precip_Seasonality,16_Precip_Wettest_Quarter,17_Precip_Driest_Quarter,18_Precip_Warmest_Quarter,19_Precip_Coldest_Quarter,20_Elevation
32,5101739435,Bursera kerberi,20.651419,-103.211786,6,1994,20.39583,17.225,62.86497,265.62497,33.8,6.4,27.4,22.48333,19.95,23.35,16.83333,911,250,4,120.96339,639,14,202,29,1564
33,5101724571,Bursera kerberi,20.203383,-104.049302,5,1993,21.47917,18.075,65.48913,233.92363,34.7,7.1,27.6,23.5,20.55,23.96667,18.26667,788,196,5,107.68958,505,18,383,43,1216
34,5101701774,Bursera kerberi,18.075278,-100.9525,5,2011,25.9625,14.35833,70.73071,141.92067,36.6,16.3,20.3,25.13333,26.71667,28.06667,24.88333,1215,285,2,116.85163,824,10,240,26,881
35,5101690262,Bursera kerberi,19.261667,-100.45,7,1978,21.58333,15.98333,66.32088,181.04915,33.9,9.8,24.1,21.58333,21.9,24.11667,19.46667,1008,218,4,107.83231,624,22,241,30,1309
36,5101680921,Bursera kerberi,19.766667,-104.366667,5,1982,22.91667,16.88333,67.26427,221.15742,34.7,9.6,25.1,24.71667,21.6,25.13333,19.88333,1084,244,3,110.19678,711,20,434,51,919
37,5101641116,Bursera kerberi,20.971111,-103.453055,9,2008,20.24583,16.625,63.69732,262.74304,33.1,7,26.1,22.43333,19.61667,23.06667,16.71667,810,215,2,117.96603,563,14,396,31,1626
38,5101631846,Bursera kerberi,19.466667,-103.3,7,1982,21.72083,16.125,66.08607,206.41371,33.3,8.9,24.4,23.15,20.7,23.91667,18.83333,970,213,2,109.16669,615,11,411,48,1264
39,5101577857,Bursera kerberi,19.39,-103.82,10,2021,25.20417,14.975,72.69418,147.91673,35.2,14.6,20.6,26.21667,24.33333,26.8,23.18333,899,212,1,112.03242,610,9,328,42,594
40,4907059747,Bursera kerberi,19.575278,-101.056444,9,2018,18.40417,15.40833,65.56738,195.82527,30.2,6.7,23.5,19.5,18.58333,20.9,15.91667,887,210,7,106.98756,559,27,213,38,1721
41,4903717417,Bursera kerberi,19.518755,-103.820222,6,2024,23.50417,17.375,69.22311,181.16367,35.5,10.4,25.1,24.78333,22.45,25.41667,21.01667,765,176,2,105.9139,483,12,323,51,991
42,4865155098,Bursera kerberi,19.36417,-103.86,8,2002,19.99583,14.225,68.0622,180.11938,29.7,8.8,20.9,21.48333,18.75,21.83333,17.56667,1119,252,3,108.3354,726,14,450,63,1446
43,4453709113,Bursera kerberi,20.896562,-103.807093,11,2023,24.07917,18.54167,63.71707,287.32669,38.3,9.2,29.1,26.45,23.55,27.33333,20.28333,822,226,2,122.89626,590,12,176,33,1174
44,4405081346,Bursera kerberi,20.912079,-103.885656,6,2020,23.825,18.73333,64.37572,278.80835,38.1,9,29.1,26.16667,23.25,26.93333,20.11667,823,228,2,123.33194,593,11,179,34,1209
45,4168707528,Bursera kerberi,20.944194,-103.437056,6,1987,20.66667,17.2,63.94052,266.01718,33.9,7,26.9,22.88333,20.01667,23.53333,17.08333,804,214,2,118.06577,559,14,392,31,1575
46,4168707523,Bursera kerberi,21.0835,-104.566778,10,1997,22.59583,17.09167,64.98733,252.68968,35.1,8.8,26.3,25.06667,22.98333,25.13333,19.15,972,279,2,121.38672,669,13,456,55,907
