species,decimalLongitude,decimalLatitude,gbifID,month,year,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-87.422005,20.941805,5714066937,8,2013,"c(-87.422005, 20.941805)",16,25.337499618530273,12.608333587646484,70.04631042480469,193.415771484375,33.599998474121094,15.600000381469727,17.999998092651367,26.71666717529297,24.200000762939453,27.316667556762695,22.71666717529297,1296,207,45,54.85371017456055,557,139,459,163
Icterus auratus,-89.585045,20.968843,5711552475,4,2018,"c(-89.585045, 20.968843)",11,26.454166412353516,13.274999618530273,68.427825927734375,193.72496032714844,36.20000076293945,16.799999237060547,19.400001525878906,27.733333587646484,25.933334350585938,28.450000762939453,23.75,961,162,23,68.12833404541016,454,72,354,103
Icterus auratus,-90.37575,19.722431,5710914126,6,2019,"c(-90.37575, 19.722431)",20,26.441667556762695,12.700000762939453,64.46700286865234,210.53863525390625,36.400001525878906,16.700000762939453,19.700000762939453,27.71666717529297,26.049999237060547,28.700000762939453,23.58333396911621,1223,244,19,82.39231872558594,638,65,274,92
Icterus auratus,-87.028114,20.687256,5710329003,5,2015,"c(-87.028114, 20.687256)",9,26.15833282470703,9.566666603088379,64.63964080810547,191.41616821289063,33.099998474121094,18.299999237060547,14.799999237060547,27.433332443237305,25.066665649414063,28.25,23.616666793823242,1336,213,36,53.33057403564453,566,138,417,199
Icterus auratus,-89.72453,20.116982,5709242490,2,2019,"c(-89.72453, 20.116982)",72,25.620832443237305,13.841666221618652,66.22807312011719,205.74095153808594,36.099998474121094,15.199999809265137,20.89999771118164,26.899999618530273,23.71666717529297,27.78333282470703,22.816665649414063,1084,201,22,72.45455169677734,524,82,280,90
Icterus auratus,-89.552475,21.306982,5708717064,12,2024,"c(-89.552475, 21.306982)",2,25.954166412353516,10.191666603088379,65.75269317626953,188.31137084960938,33.599998474121094,18.100000381469727,15.499998092651367,27.08333396911621,25.16666603088379,27.799999237060547,23.299999237060547,705,131,20,60.819454193115234,302,71,217,103
Icterus auratus,-89.30374,18.610947,5706808477,2,1997,"c(-89.30374, 18.610947)",247,24.566665649414063,12.883333206176758,70.78755187988281,181.0993194580078,33.599998474121094,15.399999618530273,18.19999885559082,25.516666412353516,24.200000762939453,26.316665649414063,22.049999237060547,1005,174,20,59.91059875488281,426,78,342,123
Icterus auratus,-89.78764,20.410519,5702313137,12,2024,"c(-89.78764, 20.410519)",55,25.64583396911621,14.291666984558105,66.78348541259766,209.53907775878906,36.400001525878906,15,21.400001525878906,26.96666717529297,23.649999618530273,27.83333396911621,22.766666412353516,1115,199,24,72.9031982421875,544,83,285,85
Icterus auratus,-86.96919,20.476680000000002,5699912762,1,2024,"c(-86.96919, 20.47668)",6,26.375,8.199999809265137,62.59541702270508,179.41192626953125,32.5,19.399999618530273,13.100000381469727,27.600000381469727,25.266666412353516,28.350000381469727,23.983333587646484,1444,242,33,52.77924346923828,598,148,428,247
Icterus auratus,-89.74814,20.692623,5699671443,5,2019,"c(-89.74814, 20.692623)",11,25.991666793823242,13.84999942779541,67.56097412109375,198.8470458984375,36.29999923706055,15.800000190734863,20.5,27.200000762939453,25.683332443237305,28.100000381469727,23.266666412353516,1079,186,23,72.99200439453125,535,75,260,98
Icterus auratus,-87.03606,21.009216,5699206908,6,2022,"c(-87.03606, 21.009216)",18,25.633333206176758,10.899999618530273,66.06060791015625,203.89761352539063,33.20000076293945,16.700000762939453,16.5,27.100000381469727,24.399999618530273,27.816667556762695,22.899999618530273,1261,197,42,48.61671447753906,511,143,405,196
Icterus auratus,-88.30458,19.926323,5695730285,3,2017,"c(-88.30458, 19.926323)",28,25.887500762939453,13.541666030883789,70.8987808227539,180.11517333984375,35.099998474121094,16,19.099998474121094,26.950000762939453,25.116666793823242,27.733333587646484,23.433334350585938,1169,196,34,58.18373107910156,499,120,384,128
