species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_03,bio_05,bio_06,bio_10,bio_13,bio_14,bio_17,bio_18,bio_19
Icterus auratus,-89.6995,21.169056,10,2019,5662545205,"c(-89.6995, 21.169056)",5,23.233333587646484,140,20,256,65.57765197753906,196.41629028320313,17.600000381469727,27.38333511352539,25.450000762939453
Icterus auratus,-90.41526,20.626057,6,2017,5660820530,"c(-90.41526, 20.626057)",4,24.200000762939453,153,9,320,70.73644256591797,171.28965759277344,17.19999885559082,27.96666717529297,25.933334350585938
Icterus auratus,-89.93975,20.942171,5,2021,5660038128,"c(-89.93975, 20.942171)",7,23.600000381469727,164,18,323,68.09268951416016,188.99856567382813,18.700000762939453,27.5,25.83333396911621
Icterus auratus,-89.29449,21.339983,2,2018,5656617228,"c(-89.29449, 21.339983)",2,23.116666793823242,138,16,249,68.08943176269531,189.4609375,16.399999618530273,27.366666793823242,25.016666412353516
Icterus auratus,-87.12879,20.93675,12,2005,5656263015,"c(-87.12879, 20.93675)",16,22.883333206176758,201,43,416,66.51606750488281,201.08181762695313,16.600000381469727,27.03333282470703,24.350000381469727
Icterus auratus,-90.63848,19.191269,5,2024,5653505074,"c(-90.63848, 19.191269)",12,23.316667556762695,250,19,269,64.01909637451172,212.96026611328125,19.19999885559082,27.516666412353516,25.799999237060547
Icterus auratus,-87.67454,21.1223,3,2020,5650629567,"c(-87.67454, 21.1223)",16,22.78333282470703,179,40,447,71.07329559326172,188.6570587158203,19.10000228881836,27.116666793823242,24.399999618530273
Icterus auratus,-89.293564,21.14849,7,2024,5642730785,"c(-89.293564, 21.14849)",9,23.016666412353516,154,20,300,66.84027862548828,202.905029296875,19.19999885559082,27.21666717529297,25.366666793823242
Icterus auratus,-87.46343,21.12443,8,2017,5641081738,"c(-87.46343, 21.12443)",15,22.53333282470703,203,43,455,69.88536834716797,193.80706787109375,18.899999618530273,26.566667556762695,24.066665649414063
Icterus auratus,-86.83216,20.98665,7,2024,5640361980,"c(-86.83216, 20.98665)",6,23.616666793823242,196,40,390,64.161224365234375,198.03005981445313,15.299999237060547,27.616666793823242,25
Icterus auratus,-87.215996,20.616772,1,2005,5637882682,"c(-87.215996, 20.616772)",24,23.200000762939453,208,40,421,66.1324691772461,187.92327880859375,15.60000228881836,27.016666412353516,24.633333206176758
Icterus auratus,-88.47706,18.499718,1,2024,5636937270,"c(-88.47706, 18.499718)",15,23.450000762939453,184,23,477,69.60784149169922,166.75828552246094,15.299999237060547,27.366666793823242,25.21666717529297
