species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,21.04213,-86.87093,10,2000,587662536
Icterus auratus,20.1823,-87.46216,1,1999,587551202
Icterus auratus,20.362652,-89.76929,12,1996,587509866
Icterus auratus,20.451462,-86.91559,9,1998,587355864
Icterus auratus,20.352352,-89.77478,4,1993,587336004
Icterus auratus,20.781796,-86.947174,10,1991,587331170
Icterus auratus,21.118052,-86.831604,6,2024,5716295624
Icterus auratus,20.502335,-87.23239,2,2024,5716269099
Icterus auratus,20.884861,-89.636024,1,2018,5716188625
Icterus auratus,20.819593,-89.561935,2,2016,5716028643
Icterus auratus,18.051283,-91.91162,11,2020,5716022486
Icterus auratus,18.408913,-88.51095,3,2017,5716015142
Icterus auratus,21.008604,-88.30664,1,2024,5716003049
Icterus auratus,20.534216,-89.66627,1,2015,5715976463
Icterus auratus,21.412058,-88.23869,11,2014,5715966936
Icterus auratus,20.598402,-88.16301,4,2015,5715892367
Icterus auratus,21.079304,-89.499535,5,2018,5715847523
Icterus auratus,21.565113,-88.08641,4,2014,5715734399
Icterus auratus,20.631283,-89.460266,3,2018,5715704055
Icterus auratus,21.19344,-88.16952,2,2016,5715647383
Icterus auratus,20.988264,-86.82834,12,2022,5715563747
Icterus auratus,20.376791,-89.77134,7,2017,5715488295
Icterus auratus,20.647764,-87.047615,7,2017,5715488155
Icterus auratus,20.246326,-87.464134,2,2024,5715416288
Icterus auratus,21.154427,-89.6326,1,2019,5715332151
Icterus auratus,18.158493,-90.20475,5,2015,5715218616
Icterus auratus,21.593225,-88.05631,5,2008,5715212585
Icterus auratus,18.343977,-88.13618,1,2024,5715201355
Icterus auratus,20.667326,-88.19901,2,2014,5715038249
Icterus auratus,21.121422,-86.82877,6,2018,5714989435
Icterus auratus,21.149195,-88.15464,10,2014,5714965429
Icterus auratus,20.365067,-87.33483,12,2021,5714960011
Icterus auratus,21.280256,-86.82083,1,2014,5714955513
Icterus auratus,20.892887,-88.13848,7,2016,5714953977
Icterus auratus,21.486002,-88.24768,2,2015,5714859096
Icterus auratus,20.894442,-89.62964,1,2017,5714843742
Icterus auratus,21.36007,-88.89976,12,2013,5714823273
Icterus auratus,20.62413,-89.60715,5,2015,5714767852
Icterus auratus,20.85287,-90.28018,3,2023,5714668156
Icterus auratus,20.97815,-89.668755,7,2018,5714622704
Icterus auratus,20.81556,-90.196205,2,2018,5714582727
Icterus auratus,20.976522,-89.65792,8,2018,5714488567
Icterus auratus,20.36111,-89.770546,4,1991,5714372705
Icterus auratus,21.513609,-87.67777,4,2014,5714224997
Icterus auratus,20.0774,-87.6147,7,2024,5714120959
Icterus auratus,18.593376,-89.41672,7,2018,5714116977
Icterus auratus,20.539589,-89.34123,4,2016,5714078198
Icterus auratus,20.941805,-87.422005,8,2013,5714066937
Icterus auratus,21.06947,-86.88237,6,2016,5713902109
Icterus auratus,21.42211,-87.350426,3,2016,5713898611
Icterus auratus,21.000711,-89.58236,8,2017,5713722774
Icterus auratus,21.12957,-89.78187,5,2017,5713564595
Icterus auratus,21.278109,-87.607864,4,2019,5713511799
Icterus auratus,20.701342,-87.01367,7,2013,5713479797
Icterus auratus,18.712837,-88.411705,12,2004,5713420279
Icterus auratus,21.156986,-86.821686,5,2017,5713406239
Icterus auratus,21.091639,-89.5958,6,2019,5713283942
Icterus auratus,20.767591,-86.95533,12,2022,5713195518
Icterus auratus,20.862707,-87.05067,11,2014,5713142023
Icterus auratus,19.841566,-88.13539,4,2018,5713130073
Icterus auratus,20.002432,-87.81178,8,2019,5713047894
Icterus auratus,20.495232,-87.7339,3,1996,5713016319
Icterus auratus,20.598833,-88.15319,6,2014,5712966515
Icterus auratus,21.561253,-88.19271,3,2014,5712884628
Icterus auratus,20.457132,-87.39478,8,2024,5712837021
Icterus auratus,20.177307,-89.65174,5,2011,5712576096
Icterus auratus,19.819582,-90.57688,5,2015,5712497195
Icterus auratus,21.132627,-86.824700000000007,6,2024,5712425085
Icterus auratus,21.572197,-88.16013,4,2016,5712301456
Icterus auratus,20.86337,-87.05108,5,2016,5712160807
Icterus auratus,20.95617,-89.638664,6,2018,5712136879
Icterus auratus,20.717785,-88.288445,4,2016,5712050679
Icterus auratus,19.75898,-88.72429,2,2014,5712050040
Icterus auratus,20.682156,-88.568634,5,2014,5711935587
Icterus auratus,21.563166,-88.18408,10,2014,5711827659
Icterus auratus,21.122564,-86.83211,10,2014,5711723640
Icterus auratus,21.273144,-89.62855,5,2024,5711663175
Icterus auratus,20.947702,-89.57763,1,2017,5711565837
Icterus auratus,20.866385,-87.0871,3,2018,5711555580
Icterus auratus,20.968843,-89.585045,4,2018,5711552475
Icterus auratus,18.446142,-89.10073,5,2015,5711390273
Icterus auratus,19.722431,-90.37575,6,2019,5710914126
Icterus auratus,21.167849,-86.84655,4,2020,5710835495
Icterus auratus,20.00443,-88.22016,3,2017,5710761038
Icterus auratus,18.725304,-87.700745,12,2024,5710630867
Icterus auratus,21.050041,-86.8507,3,2016,5710579707
Icterus auratus,20.448246,-87.2916,1,2019,5710510871
Icterus auratus,21.299929,-88.28879,4,2024,5710438788
Icterus auratus,20.687256,-87.028114,5,2015,5710329003
Icterus auratus,20.870888,-87.11508,5,2024,5710230513
Icterus auratus,20.997053,-89.81432,12,2016,5710193245
Icterus auratus,19.859962,-90.51145,11,2016,5710185403
