species,decimalLongitude,decimalLatitude,month,year,gbifID,geometry,elev,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
Icterus auratus,-91.91162,18.051283,11,2020,5716022486,"c(-91.91162, 18.051283)",3,26.799999237060547,28.950000762939453,23.899999618530273,1779,295,41,59.47910690307617,795,155,349,260,11.449999809265137,63.259666442871094,209.17588806152344,36.20000076293945,18.100000381469727,18.100000381469727,27.66666603088379,26.483333587646484
Icterus auratus,-89.499535,21.079304,5,2018,5715847523,"c(-89.499535, 21.079304)",11,25.862499237060547,27.950000762939453,23.100000381469727,884,156,22,65.97895050048828,406,72,210,103,12.658332824707031,66.27398681640625,200.79530334472656,35.400001525878906,16.299999237060547,19.10000228881836,27.16666603088379,25.433334350585938
Icterus auratus,-89.460266,20.631283,3,2018,5715704055,"c(-89.460266, 20.631283)",15,25.85416603088379,28.066665649414063,23.016666412353516,1070,186,25,71.150909423828125,523,86,265,95,14.22499942779541,66.7840347290039,207.27078247070313,36.70000076293945,15.399999618530273,21.30000114440918,27.100000381469727,23.933334350585938
Icterus auratus,-88.16952,21.19344,2,2016,5715647383,"c(-88.16952, 21.19344)",17,25.649999618530273,27.58333396911621,23.066665649414063,1227,196,37,60.28105163574219,545,123,443,143,13.783333778381348,71.04811096191406,188.25758361816406,35,15.600000381469727,19.399999618530273,27.25,24.899999618530273
Icterus auratus,-90.20475,18.158493,5,2015,5715218616,"c(-90.20475, 18.158493)",160,25.924999237060547,28.08333396911621,23.066667556762695,1247,242,29,65.96829986572266,576,91,303,136,13.033332824707031,66.83760070800781,208.59376525878906,35.900001525878906,16.399999618530273,19.500001907348633,26.816665649414063,25.450000762939453
Icterus auratus,-86.82083,21.280256,1,2014,5714955513,"c(-86.82083, 21.280256)",4,25.9375,28.11666488647461,23.299999237060547,1195,194,37,50.67933654785156,490,134,399,170,9.72499942779541,64.40397644042969,199.85360717773438,33.099998474121094,18,15.099998474121094,27.450000762939453,24.600000381469727
Icterus auratus,-86.88237,21.06947,6,2016,5713902109,"c(-86.88237, 21.06947)",9,26.008333206176758,28.25,23.28333282470703,1256,194,41,46.93217468261719,501,143,394,205,10.383334159851074,64.89583587646484,205.43560791015625,33.5,17.5,16,27.46666717529297,24.75
Icterus auratus,-90.37575,19.722431,6,2019,5710914126,"c(-90.37575, 19.722431)",20,26.441667556762695,28.700000762939453,23.58333396911621,1223,244,19,82.39231872558594,638,65,274,92,12.700000762939453,64.46700286865234,210.53863525390625,36.400001525878906,16.700000762939453,19.700000762939453,27.71666717529297,26.049999237060547
Icterus auratus,-89.72453,20.116982,2,2019,5709242490,"c(-89.72453, 20.116982)",72,25.620832443237305,27.78333282470703,22.816665649414063,1084,201,22,72.45455169677734,524,82,280,90,13.841666221618652,66.22807312011719,205.74095153808594,36.099998474121094,15.199999809265137,20.89999771118164,26.899999618530273,23.71666717529297
Icterus auratus,-89.552475,21.306982,12,2024,5708717064,"c(-89.552475, 21.306982)",2,25.954166412353516,27.799999237060547,23.299999237060547,705,131,20,60.819454193115234,302,71,217,103,10.191666603088379,65.75269317626953,188.31137084960938,33.599998474121094,18.100000381469727,15.499998092651367,27.08333396911621,25.16666603088379
